SynId,KeyWord,Gloss,ParentId,SonId
SID-00152896-A,speaking,"capable of or involving speech or speaking ""human beings--the speaking animals"" ""a speaking part in the play""",NULL,NULL
SID-00154583-A,shamefaced,"showing a sense of guilt ""a guilty look"" ""the hangdog and shamefaced air of the retreating enemy""- Eric Linklater",NULL,NULL
SID-00154837-A,sheepish,"showing a sense of shame",NULL,NULL
SID-00155144-A,insolent,"unrestrained by convention or propriety ""an audacious trick to pull"" ""a barefaced hypocrite"" ""the most bodacious display of tourism this side of Anaheim""- Los Angeles Times ""bald-faced lies"" ""brazen arrogance"" ""the modern world with its quick material successes and insolent belief in the boundless possibilities of progress""- Bertrand Russell",NULL,NULL
SID-00156101-A,self-assertive,"aggressively self-assured ""an energetic assertive boy who was always ready to argue"" ""pointing directly at a listener is an assertive act""",NULL,NULL
SID-00156440-A,cocky,"overly self-confident or self-assertive ""a very cocky young man""",NULL,NULL
SID-00156575-A,forceful,"forceful and definite in expression or action ""the document contained a particularly emphatic guarantee of religious liberty""",NULL,NULL
SID-00156839-A,unassertive,"inclined to timidity or lack of self-confidence ""a shy unassertive person""",NULL,NULL
SID-00157659-A,associable,"capable of being associated ""words associable with politics""",NULL,NULL
SID-00158110-A,betrothed,"pledged to be married ""the engaged couple""",NULL,NULL
SID-00158701-A,affixed,"firmly attached ""the affixed labels""",NULL,NULL
SID-00161276-A,unstuck,"free ""a man with a mule got my car unstuck"" ""the gears locked in second and would not come unstuck""",NULL,NULL
SID-00161431-A,attachable,"capable of being fastened or added to something else ""a handle attachable by two bolts""",NULL,NULL
SID-00161684-A,bondable,"capable of being fastened or secured with a rope or bond",NULL,NULL
SID-00161878-A,clip-on,"attachable by a clip ""clip-on earrings"" ""a clip-on bow tie""",NULL,NULL
SID-00162083-A,detachable,"designed to be unfastened or disconnected without damage ""shirts with detachable collars""",NULL,NULL
SID-00162248-A,clastic,"capable of being taken apart ""the professor had a clastic model of the human brain""",NULL,NULL
SID-00162386-A,wary,"marked by keen caution and watchful prudence ""they were wary in their movements"" ""a wary glance at the black clouds"" ""taught to be wary of strangers""",NULL,NULL
SID-00162661-A,upon_one's_guard,"vigilant ""on guard against con artists"" ""must remain on your guard in such a situation""",NULL,NULL
SID-00162863-A,shy,"wary and distrustful disposed to avoid persons or things ""shy of strangers""",NULL,NULL
SID-00163315-A,gullible,"easily tricked because of being too trusting ""gullible tourists taken in by the shell game""",NULL,NULL
SID-00163592-A,attentive,"(often followed by `to') giving care or attention ""attentive to details"" ""the nurse was attentive to her patient"" ""an attentive suitor""",NULL,NULL
SID-00163948-A,wrapped,"giving or marked by complete attention to ""that engrossed look or rapt delight"" ""then wrapped in dreams"" ""so intent on this fantastic...narrative that she hardly stirred""- Walter de la Mare ""rapt with wonder"" ""wrapped in thought""",NULL,NULL
SID-00164308-A,heedful,"giving attention",NULL,NULL
SID-00164462-A,observant,"paying close attention especially to details",NULL,NULL
SID-00164681-A,solicitous,"showing hovering attentiveness ""solicitous about her health"" ""made solicitous inquiries about our family""",NULL,NULL
SID-00165171-A,scatty,"lost in thought showing preoccupation ""an absent stare"" ""an absentminded professor"" ""the scatty glancing quality of a hyperactive but unfocused intelligence""",NULL,NULL
SID-00165943-A,oblivious,"failing to keep in mind ""forgetful of her responsibilities"" ""oblivious old age""",NULL,NULL
SID-00166146-A,attractive,"pleasing to the eye or mind especially through beauty or charm ""a remarkably attractive young man"" ""an attractive personality"" ""attractive clothes"" ""a book with attractive illustrations""",NULL,NULL
SID-00166753-A,fascinating,"capturing interest as if by a spell ""bewitching smile"" ""Roosevelt was a captivating speaker"" ""enchanting music"" ""an enthralling book"" ""antique papers of entrancing design"" ""a fascinating woman""",NULL,NULL
SID-00167077-A,magnetic,"possessing an extraordinary ability to attract ""a charismatic leader"" ""a magnetic personality""",NULL,NULL
SID-00167278-A,cute,"attractive especially by means of smallness or prettiness or quaintness ""a cute kid with pigtails"" ""a cute little apartment"" ""cunning kittens"" ""a cunning baby""",NULL,NULL
SID-00167520-A,dinky,"(British informal) pretty and neat ""what a dinky little hat""",NULL,NULL
SID-00167671-A,piquant,"attracting or delighting ""an engaging frankness"" ""a piquant face with large appealing eyes""",NULL,NULL
SID-00167829-A,winning,"very attractive capturing interest ""a fetching new hairstyle"" ""something inexpressibly taking in his manner"" ""a winning personality""",NULL,NULL
SID-00168188-A,spellbinding,"attracting and holding interest as if by a spell ""read the bedtime story in a hypnotic voice"" ""she had a warm mesmeric charm"" ""the sheer force of his presence was mesmerizing"" ""a spellbinding description of life in ancient Rome""",NULL,NULL
SID-00168551-A,irresistible,"overpoweringly attractive ""irresistible beauty""",NULL,NULL
SID-00168694-A,personable,"(of persons) pleasant in appearance and personality",NULL,NULL
SID-00168820-A,photogenic,"looking attractive in photographs",NULL,NULL
SID-00168910-A,prepossessing,"creating a favorable impression ""strong and vigorous and of prepossessing appearance""",NULL,NULL
SID-00169056-A,winsome,"charming in a childlike or naive way",NULL,NULL
